time_stamp,humidity,temperature,pressure,voc,analog_input,pm2.5_alt|pm2.5_alt = C * (0.00030418*N1   0.0018512*N2   0.02069706*N3),deciviews,visual_range,0.3_um_count,0.5_um_count,1.0_um_count,2.5_um_count,5.0_um_count,10.0_um_count,pm1.0_cf_1,pm1.0_atm,pm2.5_atm,pm2.5_cf_1,pm10.0_atm,pm10.0_cf_1
2025-01-31T14:00:00+06:00,15,83,937.94,,0,25.9,21.8,44.1,4363,1336.1,305.9,25.96,4.947,1.317,25.4,22.8,37.8,43.7,45.5,46.8
2025-01-31T15:00:00+06:00,16,83,938.42,,0,24.5,21.4,46,4159.3,1271,288.04,23.65,4.878,1.087,24.2,22.1,36.2,41,43.3,43.9
2025-01-31T16:00:00+06:00,17,82,939.12,,0,18.1,18.9,58.9,3121,951.8,209.83,15.92,3.814,0.871,17.9,17.8,29.2,29.8,32.1,32.1
2025-01-31T17:00:00+06:00,17,82,939.53,,0,15.6,17.9,65.4,2758.1,839.1,177.34,12.99,3.138,0.869,15.7,15.7,25.4,25.5,27.4,27.4
2025-01-31T18:00:00+06:00,15,82,939.8,,0,15.1,17.7,66.2,2717.6,826.3,168.75,11.61,2.797,0.571,15.6,15.6,24.6,24.7,26.4,26.4
2025-01-31T19:00:00+06:00,14,82,940.41,,0,19.9,20.3,51.4,3657.4,1109.5,218.13,15.1,3.114,0.614,21.3,20.4,31.5,33.1,35,35
2025-01-31T20:00:00+06:00,14,82,940.58,,0,21.2,20.6,49.8,3794.4,1154.9,237.31,16.86,3.666,0.796,22.2,21.1,32.9,35.2,37.5,37.5
2025-01-31T21:00:00+06:00,13,82,940.67,,0,20.2,20,52.8,3548.1,1081.6,230.42,16.85,3.384,0.762,20.6,19.9,31.8,33.5,35.5,35.5
2025-01-31T22:00:00+06:00,13,82,940.78,,0,21.6,20.4,50.5,3734.7,1140.6,250.85,20.16,4.198,0.978,21.6,20.7,33.3,36,38.5,38.6
2025-01-31T23:00:00+06:00,16,82,940.75,,0,20.9,20.1,52.3,3587.1,1095.2,244.95,20.5,4.623,1.121,20.7,20.1,32.6,34.9,37.7,37.8
2025-02-01T00:00:00+06:00,16,82,940.63,,0,19.1,19.4,56.2,3296.3,1008.6,221.99,17.62,3.646,0.77,19.1,18.9,30.6,31.7,33.9,33.9
2025-02-01T01:00:00+06:00,15,82,940.5,,0,17.5,18.6,60.7,3015.6,921.1,202.4,15.48,3.628,0.508,17.4,17.4,28.7,29,31.1,31.1
2025-02-01T11:00:00+06:00,12,82,939.19,,0,43.4,26.4,27.8,7249.3,2218.1,518.86,46.45,10.399,2.266,43.1,31.3,50.7,73.6,64.1,79.9
2025-02-01T12:00:00+06:00,12,83,938.61,,0,46,27,26.2,7711.1,2361.1,548.68,48.64,10.856,2.3,45.9,32.4,52.5,78.2,66.2,84.8
2025-02-01T13:00:00+06:00,11,83,938.1,,0,51.7,28.1,23.5,8678.5,2656.9,614.88,53.8,11.912,2.444,51.9,34.8,58,88,70.5,95.2
2025-02-01T14:00:00+06:00,11,83,937.83,,0,73,31.3,17,12162.3,3728.3,869.92,74.64,17.782,3.809,73.4,48.2,81.7,123.7,89.3,134.6
2025-02-01T15:00:00+06:00,12,83,938.17,,0,81.3,32.3,15.5,13423.8,4123.4,976.58,84.82,20.182,4.115,81.3,53.4,91.2,138,99.4,150.2
2025-02-01T16:00:00+06:00,12,84,938.28,,0,75.4,31.5,16.7,12402.2,3809.2,908.88,79.97,18.488,3.809,74.9,49.2,84.6,128,92.1,139.2
2025-02-01T17:00:00+06:00,11,84,938.24,,0,68.5,30.6,18.3,11278.8,3458.5,826.55,73.19,16.469,3.437,67.9,44.5,76.9,116.4,83.9,126.4
2025-02-01T18:00:00+06:00,11,83,938.27,,0,62.6,29.7,20,10271.3,3149.6,757.55,68.32,15.09,3.022,61.6,40.3,70.2,106.5,78.3,115.6
2025-02-01T19:00:00+06:00,11,83,938.38,,0,59.8,29.3,20.8,9841.5,3018.7,722.14,64.68,13.934,2.731,59.1,38.6,67.1,101.8,76.3,110.3
2025-02-01T20:00:00+06:00,11,82,938.25,,0,62.4,29.7,20.1,10236.9,3140.5,753.56,67.07,14.63,2.832,61.5,40.3,69.9,106,78.1,114.8
2025-02-01T21:00:00+06:00,11,82,937.98,,0,62.3,29.7,20.1,10245.6,3144.6,751.58,67.14,14.757,2.884,61.6,40.3,69.9,106,78.1,114.9
2025-02-01T22:00:00+06:00,11,82,937.58,,0,61.9,29.7,20.1,10244.4,3141.2,743.9,65.67,14.816,2.839,61.6,40.3,69.3,105.1,77.7,114
2025-02-01T23:00:00+06:00,11,82,937.55,,0,62.1,29.7,19.9,10321,3161.3,743.22,65.3,14.433,2.732,62.2,40.7,69.7,105.6,77.9,114.3
2025-02-02T00:00:00+06:00,11,81,937.52,,0,64.1,30.1,19.3,10692.8,3279.6,765.51,66.86,15.042,3.066,64.6,42.3,72,109,79.5,118.2
2025-02-02T01:00:00+06:00,11,81,937.13,,0,65.4,30.3,18.9,10935.5,3353.7,779.65,67.51,15.3,2.836,66.1,43.3,73.5,111.3,80.7,120.5
2025-02-02T02:00:00+06:00,11,81,936.82,,0,58,29.2,21,9753.7,2990.2,688.95,60.25,13.253,2.504,58.8,38.5,65.2,98.9,75.1,106.9
2025-02-02T03:00:00+06:00,10,81,936.79,,0,50.3,27.9,23.9,8511.2,2604.1,595.42,51.63,10.758,2.188,51.1,34.3,56.6,85.8,69.5,92.3
2025-02-02T04:00:00+06:00,10,81,936.6,,0,43.5,26.6,27.2,7418,2266.6,510.75,43.63,8.706,1.82,44.4,31.8,50.9,74.1,63.9,79.4
2025-02-02T05:00:00+06:00,10,81,936.34,,0,36.3,25,31.9,6234.1,1903.7,425.68,36.9,7.469,1.486,37,28.7,46.2,61.9,57.4,66.5
2025-02-02T06:00:00+06:00,10,80,936.31,,0,28.2,22.8,39.7,4897.2,1493.8,327.94,27.68,5.736,1.214,28.9,24.8,40,47.9,48.6,51.4
2025-02-02T07:00:00+06:00,10,80,936.43,,0,23.1,21,47.8,3975.7,1213.4,267.8,21.69,4.656,0.926,23.1,21.6,34.9,38.6,41.2,41.4
2025-02-02T08:00:00+06:00,10,80,936.57,,0,17.8,18.9,59.2,3103.6,946.7,205.24,16.46,3.445,0.753,17.9,17.8,29,29.7,31.8,31.8
2025-02-02T09:00:00+06:00,10,80,936.78,,0,15.1,17.7,66.6,2696.7,819.7,170.13,12.77,2.802,0.594,15.4,15.4,24.9,24.9,26.6,26.6
2025-02-02T10:00:00+06:00,10,80,936.78,,0,13.8,17,70.9,2499.4,759.8,152.81,10.19,2.408,0.558,14.2,14.2,22.4,22.4,23.9,23.9
2025-02-02T11:00:00+06:00,10,81,936.73,,0,14.4,17.5,67.9,2634.9,798.5,158.23,11.22,2.686,0.592,15,15,23.5,23.6,25.3,25.3
2025-02-02T12:00:00+06:00,10,82,936.56,,0,28.4,22.9,39.3,4952.3,1508.8,328.6,27.06,5.434,1.183,29.1,24.9,39.9,48.1,48.1,51.4
2025-02-02T13:00:00+06:00,10,82,936.25,,0,42.2,26.5,27.7,7275.4,2223.2,493.54,42.44,8.977,1.801,43.4,31.4,50.1,72.1,63,77.6
2025-02-02T14:00:00+06:00,10,82,936.08,,0,42.9,26.5,27.5,7332.3,2240,502.51,42.26,8.97,1.926,43.8,31.6,50.4,72.8,63.4,78.3
2025-02-02T15:00:00+06:00,10,83,936.19,,0,43.5,26.7,27,7469.8,2282,509.64,43.52,9.244,1.93,44.6,31.9,50.9,74.2,64,79.8
2025-02-02T16:00:00+06:00,10,83,936.16,,0,49.9,28,23.8,8542.6,2612.9,584.82,49.58,10.544,2.16,51.3,34.4,56.2,85.1,69.1,91.5
2025-02-02T17:00:00+06:00,10,82,936.12,,0,58.5,29.4,20.6,9939.8,3043.7,689.52,58.75,12.974,2.608,60,39.3,65.8,99.8,75.4,107.7
2025-02-02T18:00:00+06:00,10,82,936.15,,0,63.6,30.1,19.3,10660.5,3267.6,756.59,65.55,14.828,2.825,64.3,42.1,71.4,108.2,79,117.2
2025-02-02T19:00:00+06:00,10,82,936.16,,0,61.2,29.7,20.1,10222.1,3134.1,730.68,63.38,14.334,2.904,61.8,40.4,68.6,104.1,77.3,112.8
2025-02-02T20:00:00+06:00,10,81,936.03,,0,67,30.4,18.6,11102.1,3409,802.7,70.17,16.496,3.219,67.2,44,75,113.7,82.3,123.6
2025-02-02T21:00:00+06:00,13,81,935.83,,0,71,30.9,17.7,11711.2,3597.9,852.8,74.36,17.304,3.258,70.9,46.5,79.5,120.3,86.6,130.8
2025-02-02T22:00:00+06:00,11,81,935.54,,0,69.7,30.8,17.9,11569.1,3552.9,835.71,73.27,17.202,3.278,70,45.9,78.2,118.4,85.3,128.8
2025-02-02T23:00:00+06:00,11,80,935.08,,0,66.7,30.4,18.6,11112,3409.5,797.08,70.2,16.654,3.157,67.1,44,74.8,113.3,82.2,123.3
2025-02-03T00:00:00+06:00,11,80,934.6,,0,60.1,29.5,20.3,10110.5,3099.2,711.4,60.5,13.524,2.684,61.1,40,67.4,102.2,76.4,110.3
2025-02-03T01:00:00+06:00,11,80,934.09,,0,52.2,28.3,23,8846.8,2703,616.73,53.43,12.061,2.318,53.1,35.1,58.5,88.8,70.9,96.1
2025-02-03T02:00:00+06:00,10,80,933.63,,0,45,27,26.3,7680.6,2343.9,527.63,44.38,9.48,1.919,45.9,32.4,51.8,76.3,65,82.1
2025-02-03T03:00:00+06:00,10,80,933.15,,0,38.2,25.5,30.4,6578.3,1997.2,447.01,38.42,8.05,1.604,39,29.6,47.4,65,59.2,69.8
2025-02-03T04:00:00+06:00,10,80,932.58,,0,31.5,23.8,36,5459.5,1660.7,365.37,30.32,6.338,1.365,32.2,26.6,42.6,53.3,52.1,57.2
2025-02-03T05:00:00+06:00,10,80,932.43,,0,25.5,22,43.3,4453.1,1358,293.9,24.02,4.836,0.958,26.1,23.2,37.4,43.1,44.9,46
2025-02-03T06:00:00+06:00,10,80,932.33,,0,20.2,20,52.8,3544.5,1077.7,231.67,17.85,3.773,0.791,20.6,20,31.9,33.7,36,36
2025-02-03T07:00:00+06:00,10,80,932.15,,0,15.4,17.8,66,2726.4,825.8,174.26,13,2.784,0.596,15.5,15.5,25.1,25.2,26.9,26.9
2025-02-03T08:00:00+06:00,12,80,932.23,,0,13.1,16.9,71.9,2458.2,740,143.4,10.32,2.5,0.651,13.8,13.8,21.6,21.6,23.1,23.1
2025-02-03T09:00:00+06:00,14,80,932.2,,0,18.8,19.8,53.8,3470.2,1049.6,209.57,17.06,4.01,1.05,19.9,18.9,29.9,31.8,33.7,34.3
2025-02-03T10:00:00+06:00,14,81,932.03,,0,35.7,25.4,30.8,6474.1,1963.8,402.29,33.93,7.454,1.664,38.4,29.3,46,61.3,57,65.8
2025-02-03T11:00:00+06:00,14,81,931.67,,0,124.2,35.9,10.7,19601.4,6061.5,1538.12,141.19,39.274,7.928,120.1,79.3,138.6,209,154.5,232.9
2025-02-03T12:00:00+06:00,12,81,931.37,,0,169.2,38.6,8.3,25687.1,7972.2,2143.34,199.27,56.174,11.133,157.9,104.5,187.7,282.7,210.4,316.7
